city,hex,intersection_density,circuity,orientation_entropy,mean_street_length,greenspace_fragmentation,auc,rho_star,total_persistence
singapore,886520d95dfffff,7.371216715279566,1.0638133176339515,2.9951130608678413,38.24937664090251,367.927752052984,14.938603453424175,0.15,20.65493324178194
singapore,886520d951fffff,5.998116649795424,1.0783088936825798,3.344423233141978,51.298153346651276,16.661452102564613,6.030240849337604,0.15,10.273800390129
singapore,886520d959fffff,8.034538790641921,1.0855998535459228,3.5165712880840077,36.582392542063815,99.70188421369194,11.479992424112552,0.3,19.301070147682484
singapore,886520d825fffff,7.423289761856215,1.0985321925587221,3.4914853721252705,38.6806510820642,282.2255017674916,13.077258376332882,0.3,15.776377858523276
singapore,886520d847fffff,6.05400408725584,1.116471777109078,3.385534723288153,48.47083330659448,44.09620430858232,11.083546488381849,0.15,18.760744603748954
singapore,886520d809fffff,6.738388259957079,1.1274814057576994,3.4197870723980204,43.02306309791536,18.124552915702445,10.531500706965792,0.2,23.2364989404537
singapore,886520d86dfffff,8.024918267149395,1.0657531644511453,3.195495383796036,36.409807643824976,675.0150354140151,13.925910363241684,0.3,24.472893549204134
singapore,886520d801fffff,7.368280350538625,1.0951946248533746,3.347430389939203,39.207097877019756,19.114281109107285,10.890505704295633,0.2,16.549808363275986
singapore,886520db35fffff,6.7441568115522115,1.088824731090961,3.4434018338674894,45.83816681378228,34.92350874477734,5.43223209362296,0.2,3.7773202816799314
singapore,886520db39fffff,9.579170141272568,1.0679509250590196,3.4944073031671574,31.381349638441435,57.550636350069134,5.218431862077452,0.2,14.295429808732715
singapore,886520db37fffff,7.838451083876276,1.0753300162047237,3.098132128738507,35.459252901007815,346.07600733437573,16.277879072166634,0.2,19.97856929797306
singapore,886520d869fffff,9.00381560312534,1.0522740600050804,3.373026019839922,32.20269080660041,437.4348072781396,10.398236988934983,0.3,16.58319701170115
singapore,886520d86bfffff,6.674405972856679,1.1064182414875052,3.4982773763426547,43.12149799062856,85.71574831178451,10.341872584613963,0.2,11.516337591041172
singapore,886520d953fffff,8.109490663337185,1.0847587969402868,3.40197983633957,35.10975399594998,788.2155318394949,10.855200991599343,0.2,20.270496494082643
singapore,886520d957fffff,7.226778516298041,1.142498249200516,3.5352172580392853,39.441065820814345,365.6966165682228,9.769477538926584,0.3,16.501601438821268
