city,hex,auc_flood,intersection_density,circuity,orientation_entropy,mean_street_length,greenspace_fragmentation
barcelona,88394461cbfffff,0.0,10.62107619794888,1.0517903694541495,3.407861101080138,28.529902508896058,475.7692078841689
barcelona,88394460a5fffff,0.0,7.89390024609353,1.042098528187167,2.900209209535738,37.48696564709954,1922.2298074795656
barcelona,88394460adfffff,0.0,11.061155154352544,1.0421828604318395,2.5872521591657462,26.915533759601765,411.2635741563916
barcelona,88394460e7fffff,0.0,11.029473556910371,1.0194152818917848,3.3028833828016295,26.94324527706649,470.0287500762147
barcelona,88394460a9fffff,0.0,8.624242137536925,1.0233251024846086,3.170412083027332,35.228943341394405,431.1560768062015
barcelona,88394461dbfffff,0.0,8.901384406084466,1.02027642190289,3.3496953804216085,33.25106501062225,999.5445677549015
barcelona,8839446ad1fffff,8.822009185714332,3.98005827432546,1.094763134715829,3.0508810305162424,79.60478498823326,0.0
barcelona,8839446ad9fffff,7.487529410811621,5.204431011361853,1.0309506277912992,2.807504740365778,61.367565294773904,3417.0280203664975
barcelona,88394460e5fffff,0.0,9.135081860370184,1.022023923968054,3.2730274540918245,32.33740195431646,1068.5323184390518
barcelona,8839446033fffff,0.0,10.324433829464333,1.0201161595476271,3.138148883645766,28.850245781182192,2989.0456583411788
barcelona,88394460edfffff,0.0,10.211863333858329,1.0184796090155572,2.835208818711221,28.906246668303517,5839.451841332875
barcelona,883944603bfffff,5.21540641784668e-08,9.681918778133062,1.0170974631059206,2.908125532378576,30.946909908137997,994.2656737606612
barcelona,8839446037fffff,0.0,10.35746031603399,1.0095437707415842,2.7399713938002206,28.585180146652235,10587.33425271375
barcelona,88394461d9fffff,0.0,9.952667168225476,1.024152523949159,3.351349831267785,29.77054203542951,1001.7151682584677
barcelona,88394461ddfffff,0.0,11.430390984293023,1.0503381658758753,3.430630103712091,25.551570330546905,223.86737753956257
barcelona,88394461d1fffff,0.0,9.682791429529315,1.064572761466797,3.417610870157119,31.714678190497334,106.05121689568888
barcelona,8839446027fffff,0.0,10.98406469675957,1.0276925142744495,3.1749683619314717,27.70302742147288,826.2876993829659
barcelona,8839446023fffff,0.0,11.732478211828356,1.0095198621404724,2.914408159414163,25.297130256540935,999.469943538164
barcelona,883944603dfffff,0.0,10.412106938871467,1.0155315607757742,3.280394447550264,29.168065382747905,2295.357279026881
barcelona,883944602bfffff,0.0,10.099200781896348,1.019699676878652,3.105895409936221,29.863584127940342,646.2667487568976
barcelona,8839446031fffff,0.0,9.233163956820986,1.0204192450551564,2.823320333315116,32.739327830957876,6098.917877704276
barcelona,8839446039fffff,0.0,12.008706572673162,1.0061574357755572,2.6868246577527928,24.56398100509294,3592.3874472005855
barcelona,8839446001fffff,0.0,11.430952095757764,1.0243007350398825,3.221184766064059,26.193835298130914,521.470314341559
barcelona,8839446003fffff,0.0,11.823418082038614,1.0206056047368146,3.249373374398658,25.46769805028915,593.2922208875378
barcelona,8839446035fffff,3.687849244703228e-08,10.0977477769456,1.0118898382541357,3.006674778231347,29.65518213222084,1538.0023758782077
barcelona,8839446017fffff,0.0,10.202335910774623,1.0085442551292827,2.8271660842801207,29.427239872160197,4759.037871163242
barcelona,88394460e1fffff,0.0,9.085286917936,1.0183646591503148,3.1476676176712015,33.78326912971465,1133.5434281130174
barcelona,88394460ebfffff,0.0,9.099856287282218,1.0260395994504263,2.9592920622929735,32.6257125545876,1675.8402859361172
barcelona,88394460e9fffff,0.0,9.360078475334316,1.0108251270651298,2.7299614604968174,31.45471540938633,3470.420339416509
