city,hex,auc_inf,auc_cap
amsterdam,881969c9b7fffff,9.32843295530875,27.848328383350108
amsterdam,881969526bfffff,3.1167642060750587,34.456770583291224
amsterdam,881969526dfffff,5.113762523081477,73.17018293345971
amsterdam,8819695265fffff,7.429590180580002,70.28288607263563
amsterdam,8819695269fffff,6.75188502592156,27.696035672591204
amsterdam,881969c9b3fffff,12.628425379994148,35.806317115953675
amsterdam,8819695343fffff,7.028889383909715,32.064324227065576
amsterdam,881969535dfffff,6.143991405148248,67.50497231123933
amsterdam,8819695355fffff,4.95554471666607,25.38341005569314
amsterdam,8819695309fffff,4.7777674440395455,18.006930047148362
amsterdam,881969c9bbfffff,15.59478447878167,71.76186055207278
amsterdam,881969c9b5fffff,6.9664221331278915,9.618072562577446
amsterdam,8819695351fffff,5.78494254546521,40.18391631070941
amsterdam,881969530bfffff,6.491556650829599,30.216487761896044
amsterdam,881969c983fffff,4.5651148883683845,83.86358105373681
amsterdam,8819695357fffff,4.41598283385883,28.098890589922004
amsterdam,8819695251fffff,0.93762556951152,6.240926428410628
amsterdam,8819695259fffff,3.683391758519544,26.933031686557307
amsterdam,881969534bfffff,3.46965422337427,36.710721859553075
amsterdam,8819695245fffff,3.0964590213129606,34.141070558113505
amsterdam,881969524bfffff,3.002620071424819,85.20378338436099
amsterdam,8819695243fffff,3.662938689563958,30.08281677145585
amsterdam,8819695249fffff,1.4294698930513174,9.384421181399977
amsterdam,881969520bfffff,10.092989158827603,88.98039798153984
amsterdam,881969525dfffff,1.8168375783718043,7.120138437270911
amsterdam,881968269bfffff,9.115742133594617,43.435747138417554
amsterdam,881969c9a7fffff,2.289066274472981,17.258661378675402
amsterdam,8819695349fffff,3.0256213461977626,26.890475211243746
amsterdam,8819695241fffff,3.042141321814152,24.126075491593042
amsterdam,8819695247fffff,3.2255673232246216,24.38954627795211
amsterdam,8819682699fffff,4.960924549361835,70.24130299674351
amsterdam,881969c9a5fffff,3.0815569381345274,18.991459514831856
amsterdam,881969c9bdfffff,7.3564401072255166,41.06672481797611
amsterdam,881969c993fffff,3.8515930807273624,35.09045883139058
amsterdam,881969522dfffff,6.171256029238745,40.55768162338076
amsterdam,8819695267fffff,5.485310518540182,34.653465242485275
amsterdam,8819695315fffff,2.707758508468699,31.875913232413787
amsterdam,8819695311fffff,4.1624386354967475,19.88861838193865
amsterdam,8819695207fffff,1.1574382170745932,56.84209723551522
amsterdam,8819695049fffff,2.265584465943461,79.10735462215233
amsterdam,881969531bfffff,3.095394780289096,61.34348348764861
amsterdam,881969c9a1fffff,1.6006338232979929,22.791193627353103
amsterdam,8819695301fffff,6.343572227920866,26.942031257350667
amsterdam,8819695347fffff,5.875654156349849,16.482255874148066
amsterdam,881969530dfffff,6.1247229663748275,82.25473611780124
amsterdam,8819695345fffff,4.975336721201346,28.84019058624733
amsterdam,8819695209fffff,2.5073576516727614,42.157624825284955
amsterdam,881969505dfffff,0.22591808129220686,0.22591808129220686
amsterdam,8819695237fffff,0.0,0.0
