city,hex,intersection_density,circuity,orientation_entropy,mean_street_length,greenspace_fragmentation,auc,rho_star,total_persistence
phoenix,8848eba693fffff,6.955963114213653,1.0620538682337852,2.2356009773901193,42.958331310978664,0.0,2.082453856336979,0.1,3.5499596486907805
phoenix,8848eba695fffff,4.0082419819851784,1.1896633429404437,3.2967475916575206,70.63758410620053,3.0791835787765596,0.017134732451172904,0.2,0.39046731559818504
phoenix,8848eba697fffff,7.590050064270176,1.244253797515888,2.4882218814751766,39.99597183165858,29.879440616666738,4.337158683176223,0.15,5.712701377173067
phoenix,8829b6c117fffff,2.9733318395630444,1.048916413556671,2.9804610602379076,99.36817059005593,0.0,0.2263602714745666,0.1,0.0
phoenix,8829b6d311fffff,7.416053351141009,1.0342605738792627,2.1802027131352,39.05016523411185,203.24759705267485,16.22640694468624,0.3,19.44681731182805
phoenix,8829b6d661fffff,3.529785950379027,1.198402104870104,2.908941123889987,90.49966455052113,0.0,0.1889504520546592,0.1,0.9483815795569868
phoenix,8829b6dadbfffff,4.040619390854438,1.2351116872144272,3.2055709120294926,76.35231345871308,0.0,5.684388023831226,0.05,6.608733255917157
phoenix,8829b6d357fffff,10.907520469883176,1.044532919251073,2.210930625428279,25.823853269176006,1501.075747261218,10.74153232082911,0.4,17.00512959240385
phoenix,8829b6d1c1fffff,4.040818253959899,1.1329652093202094,2.1204512651545873,69.68364565579778,1518.661814410497,3.3051618967662026,0.2,0.0
phoenix,8829b6c023fffff,7.07753088448577,1.1171142873642517,2.212963931201885,41.47482089921313,0.0,4.690546089733033,0.1,6.940105359297437
phoenix,8829b6d259fffff,4.896188986868142,1.1875229731868975,1.9520340409407229,63.38497725855138,0.0,0.05583235959622911,0.05,0.0
phoenix,8829b6d25bfffff,3.8927029454599698,1.2225121753844408,1.9924646912154997,82.24205375482552,0.0,9.189507959486894,0.05,10.066791549216425
phoenix,8848e969b3fffff,4.558873879665042,1.0318140030280627,2.195788424605728,61.46106343603495,0.0,9.49219041402067,0.3,9.404360008196928
phoenix,8848e969b1fffff,5.5472744506402725,1.0406757463843512,2.8304864078507945,55.017073323202766,3.057481274896181,0.0736400993680988,0.2,0.10499505979692714
phoenix,8829b6d269fffff,4.981769170186311,1.132872144027574,2.7192703337335935,63.80406879535433,0.0,0.3015609435736975,0.05,0.0
phoenix,8848e96de1fffff,7.058771831709203,1.036799797047415,2.1388091161318474,45.73654320338755,138.1968560760512,12.528296228787088,0.1,15.661765560155997
phoenix,8848ebb4bdfffff,7.023091210748816,1.067792409849482,2.6490239874779933,45.04620926458174,36.211172301794015,7.670935778793373,0.15,9.386823215713644
phoenix,8848ebb487fffff,6.426239173998625,1.082296949642406,2.6388048897111966,50.345062330351176,0.0,17.906027366273833,0.15,28.48845612191039
phoenix,8848eba6a7fffff,6.529264906219588,1.0854645270564263,2.7399185457639166,46.56788450479628,0.0,0.0,,0.3461370111038091
