term,coef_base,p_base,coef_full,p_full
intersection_density,-0.09118373631122162,0.22100308254479628,-0.09755855943550748,0.18327369223732307
circuity,-10.156177932619407,5.491892287515405e-18,-9.548143411020364,2.982700367095938e-16
orientation_entropy,1.0145290598763248,4.3580671271191607e-07,1.106886458603548,1.1373233295090706e-07
mean_street_length,-0.04757989722177689,3.653329534961006e-16,-0.039481977112762016,9.659046365776337e-12
greenspace_fragmentation,-1.7813079585854e-06,0.6363259795806369,-1.6076224192696531e-06,0.6630963132263652
green_area_km2,,,-2.2534471922664037,0.0017379965039867288
major_road_share,,,4.206217254381378,7.071567834281786e-08
relief_m,,,-0.007533625976336609,0.40187817143999777
centre_dist_km,,,-0.10743708007061364,6.18217038017938e-20
