city,hex,intersection_density,circuity,orientation_entropy,mean_street_length,greenspace_fragmentation,auc,rho_star,total_persistence
istanbul,881ec910bdfffff,8.25942154743319,1.0256486954900057,3.4940793177823695,36.72573576627784,349.2245140237414,8.91600316383276,0.3,15.4797806951797
istanbul,881ec910a3fffff,7.310057021111851,1.0458532874716533,3.5502305361874456,43.046007549230694,361.69596886279015,13.961084118057675,0.2,24.982233010414227
istanbul,881ec90249fffff,7.862615644637717,1.0601263611334988,3.5326478215836965,38.631414160478435,1035.6665014150767,15.48289033137744,0.2,21.52808057692467
istanbul,881ec9024dfffff,7.6608935018534385,1.0525987160853028,3.440657272973258,40.51475737678314,1360.560254554984,8.137875226232051,0.3,13.692142974227917
istanbul,881ec90245fffff,8.53885878612006,1.0539325994826578,3.3629556915939074,35.486246556192995,203.19308447862193,5.920914844951699,0.2,23.56697756687312
istanbul,881ec91093fffff,5.539056266690224,1.0982087672079657,3.5115776382245474,57.84168531402304,48.74112532051864,13.135637662111575,0.3,13.979793802127142
istanbul,881ec90269fffff,7.071594428981361,1.0432939182730598,3.1968686429074764,43.84907477970896,779.715050011308,9.709436443684934,0.3,19.00334762567828
istanbul,881ec90247fffff,7.662239667242909,1.0378943910478495,3.36822829904223,39.615559796582104,266.63866128798276,7.244983963762907,0.3,20.555963321293724
istanbul,881ec90243fffff,5.955992189649075,1.104841928155244,3.3504476412455833,50.71922925928685,124.7537848981875,10.555192812341856,0.2,16.023993931885034
istanbul,881ec90241fffff,7.7007736049731985,1.0536967771280947,3.3720713113213403,39.593679339879166,608.7543235197797,6.768192183745747,0.2,11.148043956156128
istanbul,881ec90209fffff,7.040332451796053,1.0811980431677048,3.27967719703661,42.18972683520393,336.28400783841374,2.2645167705887608,0.3,4.3928567330099275
istanbul,881ec910b1fffff,7.734133485811399,1.057023896329871,3.51112870333864,39.32889842879395,187.94476234076504,13.02323863586333,0.2,23.11382221614293
istanbul,881ec910bbfffff,7.094518482156387,1.0750800572322363,3.4071284485354933,43.75062397402725,251.43312133639512,6.1129272432563875,0.3,17.120387763182308
istanbul,881ec910b5fffff,6.742726965709957,1.047431556888459,3.516618841762164,44.02892205331071,318.14273996713393,11.887277451678523,0.4,24.674028350723013
istanbul,881ec9024bfffff,7.781353838770808,1.0781032920011615,2.7591655818827188,40.76466738921314,849.3623528715361,2.278560677116613,0.3,7.172640396526802
istanbul,881ec91545fffff,8.063859096967418,1.132974862862195,3.3109538466147383,38.68205058566735,8820.349436445764,2.9496717291226418,0.3,7.169820068653691
istanbul,881ec9026bfffff,7.272744447102506,1.0372268768199768,3.3454307050452594,42.473721688829166,189.1935911115913,18.51272878416161,0.3,32.60949673709516
istanbul,881ec9020dfffff,6.873972190486372,1.0701978914595556,3.40164777831918,43.3459978330793,281.3419420077331,4.9029771073493755,0.2,13.87737058602457
istanbul,881ec910b9fffff,6.110781741359052,1.1052622938543657,3.49258430780875,48.15936013404821,141.2477075135998,11.85116104066704,0.2,27.608874470259043
istanbul,881ec910a7fffff,6.203214227365178,1.0789021731200994,3.4639039496537927,51.55711347335873,327.12823882578266,2.639680377836334,0.2,3.3012160561992587
istanbul,881ec91085fffff,5.518438628445782,1.066831469894339,3.552114811826274,58.81733109428239,305.14885523024594,8.840831703790029,0.3,22.969683806377347
istanbul,881ec910abfffff,5.819945594875082,1.0582982220857569,3.4166278888432577,54.08469386107409,219.2981123617417,8.468816518017874,0.3,19.366722433790233
istanbul,881ec91097fffff,6.875478826770063,1.0616319774120615,3.521928656444168,43.66035896105992,47.72161545104103,9.530599385407973,0.2,20.34081953115252
istanbul,881ec910b7fffff,10.139916225127823,1.1103455528671895,3.056410522696798,28.177184048745307,322.2727661993545,2.2608289880282197,0.3,1.2142227292739145
istanbul,881ec91095fffff,6.651212104874448,1.0373118147038292,3.53567439190334,48.11926139706081,382.558313407597,7.259046583437431,0.2,17.52928373827673
