hex,auc_all,auc_strict,city
881ec910bdfffff,8.91600316383276,8.760640790461173,istanbul
881ec910a3fffff,13.961084118057675,16.822000468172305,istanbul
881ec90249fffff,15.48289033137744,9.184670620738817,istanbul
881ec9024dfffff,8.137875226232051,13.713046006407748,istanbul
881ec90245fffff,5.920914844951699,6.652875491264862,istanbul
881ec91093fffff,13.135637662111575,9.593470334962323,istanbul
881ec90269fffff,9.709436443684934,11.278114849055658,istanbul
881ec90247fffff,7.244983963762907,12.544635729290398,istanbul
881ec90243fffff,10.555192812341856,6.951161789328586,istanbul
881ec90241fffff,6.768192183745747,5.636373570253825,istanbul
881ec90209fffff,2.2645167705887608,4.704613328578617,istanbul
881ec910b1fffff,13.02323863586333,8.172446410770423,istanbul
881ec910bbfffff,6.1129272432563875,8.437155268763204,istanbul
881ec910b5fffff,11.887277451678523,10.523801176565565,istanbul
881ec9024bfffff,2.278560677116613,2.4033297657450485,istanbul
881ec91545fffff,2.9496717291226418,2.9496717291226418,istanbul
881ec9026bfffff,18.512728784161606,20.361076559420344,istanbul
881ec9020dfffff,4.9029771073493755,3.6385319558151483,istanbul
881ec910b9fffff,11.851161040667039,12.21178140230823,istanbul
881ec910a7fffff,2.639680377836334,2.639680377836334,istanbul
881ec91085fffff,8.840831703790029,15.73870740595509,istanbul
881ec910abfffff,8.468816518017874,8.205101663478462,istanbul
881ec91097fffff,9.530599385407973,10.277277735682281,istanbul
881ec910b7fffff,2.2608289880282197,1.3848023407800372,istanbul
881ec91095fffff,7.259046583437431,8.775879591975295,istanbul
881ec91091fffff,11.727197893996534,8.671634369935864,istanbul
881ec91087fffff,8.971580076681672,8.388403183363005,istanbul
881ec91083fffff,14.73855369188705,13.407104533060403,istanbul
881ec910a1fffff,10.328589137217655,10.564812017793125,istanbul
881ec91193fffff,8.311029346534765,8.841507384280769,istanbul
881ec91081fffff,19.066249560547252,14.313844117856789,istanbul
881ec91569fffff,0.0,0.0,istanbul
881ec910a9fffff,12.068280604776813,12.553370302973343,istanbul
881ec910e3fffff,13.676401480136642,12.27535523133409,istanbul
881ec90261fffff,2.964908030981359,9.100585993058049,istanbul
881ec9026dfffff,8.48091576550863,12.415334247401697,istanbul
881ec91089fffff,9.878577445227021,13.682286538384977,istanbul
881ec910d5fffff,13.755523034117084,10.716236164122673,istanbul
881ec9108dfffff,12.264461631894847,11.889651981579023,istanbul
881ec910d7fffff,11.676531800582275,9.34451999287469,istanbul
881ec91099fffff,4.439423848399642,5.959770890798944,istanbul
881ec91725fffff,5.329830141677325,15.616872146284683,istanbul
881ec98ce7fffff,4.7480450126798255,4.243806200635147,istanbul
881ec91665fffff,2.8880646518747097,2.8880646518747097,istanbul
881ec9154dfffff,3.781070902751438,3.0410072028096495,istanbul
881ec91549fffff,3.2257617492276744,2.940287218349064,istanbul
881ec91723fffff,8.876206278228207,8.151733288226572,istanbul
881ec91735fffff,0.4488714256489779,0.4488714256489779,istanbul
881ec9173dfffff,3.0691828774286334,3.1857477451418346,istanbul
881ec9172bfffff,7.8625460088283345,9.161682009179874,istanbul
881ec91707fffff,8.491444958878006,9.163385066071793,istanbul
881ec91739fffff,0.30089178032041386,0.4031881517357383,istanbul
881ec91703fffff,3.109967226092903,5.132024074796084,istanbul
881ec910d3fffff,9.347007541086585,10.016631283262866,istanbul
881ec9172dfffff,11.170652857418752,12.072440386762118,istanbul
881ec9108bfffff,5.637551722137861,8.152292174493411,istanbul
881ec91765fffff,8.588501124052774,10.346587104343671,istanbul
881ec910dbfffff,7.903376269855698,9.633616344892864,istanbul
881ec9176dfffff,3.2430584600932524,5.834444066031612,istanbul
881ec91769fffff,5.565628450900782,10.77763034919288,istanbul
881ec910c7fffff,9.563369730014237,20.509648662391438,istanbul
881ec910c1fffff,7.1896420456952566,6.522113740052735,istanbul
881ec9109bfffff,7.617295340215231,9.70040697017673,istanbul
881ec91729fffff,16.161670444498757,16.457347315026126,istanbul
881ec91721fffff,10.742871918134881,10.688234840210704,istanbul
881ec91705fffff,10.275013902952141,9.316489929363236,istanbul
881ec98c0bfffff,8.644434439143605,11.65359305399348,istanbul
881ec98c09fffff,5.36758905472688,5.714609254295346,istanbul
881ec98c33fffff,6.788292093812556,3.725398776201867,istanbul
881ec98c37fffff,1.7364263600020824,0.868123257238775,istanbul
881ec98c31fffff,4.253208868960643,0.3958280759184869,istanbul
881ec98c3dfffff,6.537915133924358,3.594597894389968,istanbul
881ec98c39fffff,0.2287250026174568,0.09455840741846612,istanbul
881ec98c03fffff,6.928572483837529,4.3936393076082325,istanbul
881ec9170bfffff,3.204136636534561,6.796777378212306,istanbul
