city,hex,auc_flood
amsterdam,881969c9a5fffff,0.0
amsterdam,881969c9bdfffff,0.0
amsterdam,881969c993fffff,0.0
amsterdam,881969522dfffff,0.0
amsterdam,8819695267fffff,0.0
amsterdam,8819695315fffff,0.0
amsterdam,8819695311fffff,0.0
amsterdam,8819695207fffff,0.0
amsterdam,8819695049fffff,0.0
amsterdam,881969531bfffff,0.0
amsterdam,881969c9a1fffff,0.0
amsterdam,8819695301fffff,0.0
amsterdam,8819695347fffff,0.0
amsterdam,881969530dfffff,0.0
amsterdam,8819695345fffff,0.0
amsterdam,8819695209fffff,0.0
amsterdam,881969505dfffff,1.3309331413117302
amsterdam,8819695237fffff,0.0
amsterdam,881969504bfffff,2.38701574586786
amsterdam,8819695061fffff,0.0
amsterdam,8819695043fffff,0.0
amsterdam,881969506bfffff,0.0
amsterdam,8819695045fffff,0.0
amsterdam,8819695069fffff,0.0
amsterdam,8819695041fffff,0.9480447644735376
amsterdam,8819695235fffff,0.0
amsterdam,881969504dfffff,0.0
amsterdam,8819695313fffff,0.0
amsterdam,881969514bfffff,0.0
amsterdam,8819695317fffff,0.0
amsterdam,8819695231fffff,0.0
amsterdam,881969533bfffff,0.0
amsterdam,8819695149fffff,0.0
amsterdam,881969523dfffff,0.0
amsterdam,8819695227fffff,0.0
amsterdam,8819695223fffff,0.0
amsterdam,881969514dfffff,0.0
amsterdam,8819695331fffff,0.0
amsterdam,8819695239fffff,0.0
amsterdam,8819695335fffff,0.0
amsterdam,8819695339fffff,0.0
amsterdam,8819695215fffff,0.0
amsterdam,881969521dfffff,0.0
amsterdam,8819695203fffff,0.0
amsterdam,8819695323fffff,0.0
amsterdam,8819695221fffff,0.0
amsterdam,8819695327fffff,0.0
amsterdam,881969522bfffff,0.0
amsterdam,881968249bfffff,0.0
amsterdam,881969533dfffff,0.0
amsterdam,8819695319fffff,0.0
amsterdam,881969531dfffff,0.0
amsterdam,8819695303fffff,0.0
amsterdam,881969cd67fffff,0.0
amsterdam,8819695225fffff,0.0
amsterdam,8819695307fffff,0.0
amsterdam,8819695201fffff,0.0
amsterdam,8819682491fffff,0.0
amsterdam,8819695321fffff,0.0
amsterdam,8819695205fffff,0.0
amsterdam,881969532bfffff,0.0
amsterdam,8819695229fffff,0.0
amsterdam,8819695325fffff,0.0
amsterdam,8819682499fffff,0.0
amsterdam,8819695353fffff,0.0
amsterdam,881968249dfffff,0.0
amsterdam,8819695305fffff,0.0
amsterdam,881969cd63fffff,0.0
amsterdam,8819695263fffff,0.0
amsterdam,881969520dfffff,0.0
amsterdam,881969532dfffff,0.0
amsterdam,8819695329fffff,0.0
amsterdam,8819682483fffff,0.0
amsterdam,88196824d3fffff,2.60770320892334e-08
amsterdam,881969535bfffff,0.0
amsterdam,88196824d7fffff,0.0
amsterdam,881969cd61fffff,0.0
amsterdam,8819695255fffff,0.0
amsterdam,881968248bfffff,0.0
amsterdam,881969cd65fffff,0.0
amsterdam,8819682481fffff,0.0
amsterdam,8819695363fffff,0.0
amsterdam,8819695367fffff,0.0
amsterdam,8819695261fffff,0.0
amsterdam,88196824d5fffff,0.0
amsterdam,88196824dbfffff,0.0
amsterdam,88196824d1fffff,0.0
amsterdam,8819695359fffff,0.0
amsterdam,881969c8b3fffff,0.0
amsterdam,881969536bfffff,0.0
amsterdam,881969c8b7fffff,0.0
amsterdam,8819695361fffff,0.0
amsterdam,881969c8b5fffff,0.0
amsterdam,88196824d9fffff,0.0
amsterdam,8819695341fffff,0.0
amsterdam,881969c8b1fffff,0.0
amsterdam,88196824c3fffff,0.0
amsterdam,881969524dfffff,0.0
amsterdam,881969536dfffff,0.0
amsterdam,88196824ddfffff,0.0
amsterdam,8819695369fffff,0.0
amsterdam,8819695365fffff,0.0
amsterdam,881969c997fffff,0.0
amsterdam,88196826b3fffff,0.0
amsterdam,88196826b7fffff,0.0
amsterdam,881969c9b1fffff,0.0
amsterdam,88196824c1fffff,0.0
amsterdam,881969c8a3fffff,0.0
amsterdam,881969c8bdfffff,0.0
