city,hex,auc_inf,auc_cap,auc_ext
amsterdam,881969c9b7fffff,9.32843295530875,27.848328383350108,66.89014511880161
amsterdam,881969526bfffff,3.1167642060750587,34.456770583291224,107.31801228211839
amsterdam,881969526dfffff,5.113762523081477,73.17018293345971,146.93378564364352
amsterdam,8819695265fffff,7.429590180580002,70.28288607263563,145.34341008934464
amsterdam,8819695269fffff,6.75188502592156,27.696035672591204,128.11570274896127
amsterdam,881969c9b3fffff,12.628425379994148,35.806317115953675,84.17754434314446
amsterdam,8819695343fffff,7.028889383909715,32.064324227065576,71.37413382287981
amsterdam,881969535dfffff,6.143991405148248,67.50497231123933,107.47384352067189
amsterdam,8819695355fffff,4.95554471666607,25.38341005569314,60.61261605267327
amsterdam,8819695309fffff,4.7777674440395455,18.006930047148362,65.40514919645545
amsterdam,881969c9bbfffff,15.59478447878167,71.76186055207278,135.61627890682922
amsterdam,881969c9b5fffff,6.9664221331278915,9.618072562577446,46.09123751828191
amsterdam,8819695351fffff,5.78494254546521,40.18391631070941,86.06036797165193
amsterdam,881969530bfffff,6.491556650829599,30.216487761896044,82.53463865713435
amsterdam,881969c983fffff,4.5651148883683845,83.86358105373681,162.2122791702033
amsterdam,8819695357fffff,4.41598283385883,28.098890589922004,70.26695655883131
amsterdam,8819695251fffff,0.93762556951152,6.240926428410628,35.502003164688254
amsterdam,8819695259fffff,3.683391758519544,26.933031686557307,93.63300058252148
amsterdam,881969534bfffff,3.46965422337427,36.710721859553075,105.62216028764657
amsterdam,8819695245fffff,3.0964590213129606,34.141070558113505,162.73870745726217
amsterdam,881969524bfffff,3.002620071424819,85.20378338436099,204.37267689109683
amsterdam,8819695243fffff,3.662938689563958,30.08281677145585,109.61092938994884
amsterdam,8819695249fffff,1.4294698930513174,9.384421181399977,72.63228124470982
amsterdam,881969520bfffff,10.092989158827603,88.98039798153984,194.27495929783876
amsterdam,881969525dfffff,1.8168375783718043,7.120138437270911,47.71862407639393
amsterdam,881968269bfffff,9.115742133594617,43.435747138417554,85.21470976918239
amsterdam,881969c9a7fffff,2.289066274472981,17.258661378675402,172.69492993269856
amsterdam,8819695349fffff,3.0256213461977626,26.890475211243746,94.88598240456834
amsterdam,8819695241fffff,3.042141321814152,24.126075491593042,92.52564293008191
amsterdam,8819695247fffff,3.2255673232246216,24.38954627795211,77.28320956113038
amsterdam,8819682699fffff,4.960924549361835,70.24130299674351,122.01934024693867
amsterdam,881969c9a5fffff,3.0815569381345274,18.991459514831856,119.15349212921926
amsterdam,881969c9bdfffff,7.3564401072255166,41.06672481797611,97.60857868380394
amsterdam,881969c993fffff,3.8515930807273624,35.09045883139058,177.28971497153603
amsterdam,881969522dfffff,6.171256029238745,40.55768162338076,98.50745101366188
amsterdam,8819695267fffff,5.485310518540182,34.653465242485275,94.64244087104231
amsterdam,8819695315fffff,2.707758508468699,31.875913232413787,113.78510164619915
amsterdam,8819695311fffff,4.1624386354967475,19.88861838193865,162.43576069417307
amsterdam,8819695207fffff,1.1574382170745932,56.84209723551522,232.37965581677082
amsterdam,8819695049fffff,2.265584465943461,79.10735462215233,166.57645044510562
amsterdam,881969531bfffff,3.095394780289096,61.34348348764861,157.78205232663964
amsterdam,881969c9a1fffff,1.6006338232979929,22.791193627353103,90.02725097116513
amsterdam,8819695301fffff,6.343572227920866,26.942031257350667,111.07611589944855
amsterdam,8819695347fffff,5.875654156349849,16.482255874148066,53.715776578478454
amsterdam,881969530dfffff,6.1247229663748275,82.25473611780124,166.622458109861
amsterdam,8819695345fffff,4.975336721201346,28.84019058624733,81.01076057499498
amsterdam,8819695209fffff,2.5073576516727614,42.157624825284955,200.93171781152358
amsterdam,881969505dfffff,0.22591808129220686,0.22591808129220686,14.186444974863756
amsterdam,8819695237fffff,0.0,0.0,0.6692575573235563
amsterdam,881969504bfffff,2.078039961325044,22.98990563343195,92.97035774934936
amsterdam,8819695061fffff,0.945226269992507,3.596876699442061,56.45297418914511
amsterdam,8819695043fffff,0.0,0.0,13.563938058061408
amsterdam,881969506bfffff,0.4322125361024577,0.4322125361024577,33.059290531682194
amsterdam,8819695045fffff,7.033427873820651,25.50342654660716,67.45018922345203
amsterdam,8819695069fffff,7.382008574383012,25.943561580529895,64.51869505046345
amsterdam,8819695041fffff,4.233813208813157,25.447016644409583,99.89930203825236
amsterdam,8819695235fffff,0.0,0.0,0.40607228039177273
amsterdam,881969504dfffff,3.5140746840107915,48.5921319846532,90.10026133059085
amsterdam,8819695313fffff,5.522856045387397,52.23436669094996,156.7708197868103
amsterdam,881969514bfffff,1.741673243964752,1.741673243964752,15.83666473374261
amsterdam,8819695317fffff,2.5571081264850437,52.030953989499906,102.745216571507
amsterdam,8819695231fffff,0.09917527082462443,5.385320779849883,51.16186914958353
amsterdam,881969533bfffff,2.3768626717987464,47.45491997244116,95.09584569911334
amsterdam,8819695149fffff,1.5597136741165725,28.07621796861211,140.07704011187684
