city,hex,green_area_km2,major_road_share,relief_m,centre_dist_km
istanbul,881ec910bdfffff,0.054406260835138054,0.19444444444444445,20.129198756623854,6.493252525166109
istanbul,881ec910a3fffff,0.03870654141935134,0.21766561514195584,23.361006720760734,6.661398654263636
istanbul,881ec90249fffff,0.02124235935983295,0.1823671497584541,21.536940054231792,5.988877103545153
istanbul,881ec9024dfffff,0.02645968811706541,0.16966067864271456,10.200924076497326,6.389602858503517
istanbul,881ec90245fffff,0.17224995668433968,0.09036144578313253,10.025596699426332,5.920420946634821
istanbul,881ec91093fffff,0.43084766430617455,0.13268608414239483,23.974922657822585,6.247622989661387
istanbul,881ec90269fffff,0.026932916069396688,0.23204419889502761,12.70114567902904,6.539206457138613
istanbul,881ec90247fffff,0.11251181601005165,0.12788906009244994,10.433415856358563,4.939213318335124
istanbul,881ec90243fffff,0.20841051052053286,0.06666666666666667,18.082968873094543,4.419587466622641
istanbul,881ec90241fffff,0.03942477132849503,0.12549019607843137,8.405523114954578,5.404355919403348
istanbul,881ec90209fffff,0.026763092476061328,0.25742574257425743,10.067069203742525,3.960563059625754
istanbul,881ec910b1fffff,0.1330178063418026,0.21073558648111332,31.266291476467096,5.61609103611396
istanbul,881ec910bbfffff,0.2784040528469049,0.15064935064935064,15.672732913638834,5.672215881345196
istanbul,881ec910b5fffff,0.053435134184599664,0.11284722222222222,25.383110090675846,5.724617193632108
istanbul,881ec9024bfffff,0.004709415229526884,0.12903225806451613,2.2993748180027533,5.0227415021352755
istanbul,881ec91545fffff,0.00022674838615077786,0.3302752293577982,9.105655966691938,5.770506782640776
istanbul,881ec9026bfffff,0.03699913912977749,0.17277486910994763,16.492546318180384,5.578917035821012
istanbul,881ec9020dfffff,0.04620711688853941,0.2571428571428571,9.503946072191424,4.629611100545268
istanbul,881ec910b9fffff,0.24071187135356775,0.2421259842519685,15.561178346983725,6.466439989209462
istanbul,881ec910a7fffff,0.015284525780921132,0.44144144144144143,10.308877508064825,6.960666820124107
istanbul,881ec91085fffff,0.0557105154045978,0.2184873949579832,17.637571600771306,8.181196152667821
istanbul,881ec910abfffff,0.050160030478762295,0.23002421307506055,18.130102789710687,7.39793602971374
istanbul,881ec91097fffff,0.4610070256856755,0.05390334572490706,20.954387034699916,5.888257788421038
istanbul,881ec910b7fffff,0.009308884630183836,0.08333333333333333,6.38825171453507,4.807667505801394
istanbul,881ec91095fffff,0.09933126184481286,0.2570694087403599,21.630664882645334,6.582663577363891
istanbul,881ec91091fffff,0.13650712032889195,0.18655097613882862,13.73279273332954,6.834606316746987
istanbul,881ec91087fffff,0.01825773052284928,0.1259259259259259,13.993332372767592,7.3075875970208255
istanbul,881ec91083fffff,0.01731671387214652,0.29595015576323985,11.419235949783316,7.344141530064639
istanbul,881ec9156dfffff,0.0,0.0,0.0,4.9475681363105215
istanbul,881ec910a1fffff,0.0060113072867652665,0.12469437652811736,19.92858894017172,7.610690071798227
istanbul,881ec91193fffff,0.0822490112113255,0.257372654155496,10.395764234622304,6.903093099805223
istanbul,881ec91081fffff,0.041567859511991066,0.3730886850152905,20.9488392787596,8.153920002678197
istanbul,881ec91569fffff,0.00400609252798951,0.06451612903225806,7.266286774616387,5.287419798429044
istanbul,881ec910a9fffff,0.009434126007755549,0.059674502712477394,15.093022615218212,8.321167724364047
istanbul,881ec910e3fffff,0.10772043335768303,0.40298507462686567,12.515784645892046,9.077897021982597
istanbul,881ec90261fffff,0.1257802594138644,0.05102040816326531,2.211334438749598,6.302264639551152
istanbul,881ec9026dfffff,0.27336785699439453,0.23367697594501718,11.744952749029984,7.234424544335444
istanbul,881ec91089fffff,0.06745642862396935,0.36507936507936506,8.709023558983086,9.023231009692031
istanbul,881ec910d5fffff,0.03755452363551225,0.3153409090909091,13.982261111152125,9.149848885560514
istanbul,881ec9108dfffff,0.045801514442249086,0.3861607142857143,18.204746205579188,8.998967488098165
istanbul,881ec910d7fffff,0.011709314576390014,0.3395176252319109,8.41905924047733,8.43723288698071
istanbul,881ec91099fffff,0.025575618726291983,0.22784810126582278,14.158863071181585,7.78452737990101
istanbul,881ec91725fffff,0.011488811771405677,0.43137254901960786,12.896263024612983,8.168542587973112
